,Color,Runtime,Director Facebook Likes,Actor 1 Facebook Likes,Genres,Title,Number of Voted Users,Cast Total Facebook Likes,Language,Country,Content Rating,Year,IMDb Score,Movie Facebook Likes
3163,Color,106.0,13000.0,11000.0,Biography|Crime|Drama|Romance,Big Eyes ,55539,12418,English,USA,PG-13,2014,7.0,20000
2628,Color,88.0,189.0,934.0,Adventure|Comedy|Family,Big Fat Liar ,29008,3707,English,USA,PG,2002,5.4,896
602,Color,125.0,13000.0,12000.0,Adventure|Drama|Fantasy,Big Fish ,350698,16138,English,USA,PG-13,2003,8.0,26000
89,Color,102.0,38.0,756.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Big Hero 6 ,279093,2963,English,USA,PG,2014,7.9,41000
1301,Color,107.0,42.0,875.0,Biography|Drama|Romance,Big Miracle ,15231,1702,English,USA,PG,2012,6.5,0
1218,Color,99.0,14.0,17000.0,Comedy|Crime,Big Momma's House 2 ,31968,19334,English,USA,PG-13,2006,4.6,663
1526,Color,99.0,67.0,826.0,Action|Comedy|Crime,Big Momma's House ,66941,1790,English,USA,PG-13,2000,5.1,1000
1551,Color,113.0,14.0,918.0,Action|Comedy|Crime,"Big Mommas: Like Father, Like Son ",19671,3500,English,USA,PG-13,2011,4.4,0
1976,Color,99.0,0.0,400.0,Action|Adventure|Comedy|Fantasy,Big Trouble in Little China ,92464,896,English,USA,PG-13,1986,7.3,19000
1131,Color,74.0,188.0,11000.0,Comedy|Crime|Thriller,Big Trouble ,17307,13917,English,USA,PG-13,2002,6.5,892
2393,Color,130.0,545.0,15000.0,Comedy|Drama|Family|Fantasy|Romance,Big ,153468,28018,English,USA,PG,1988,7.3,0
2198,Color,93.0,12.0,18000.0,Adventure|Comedy|Fantasy|Music|Sci-Fi,Bill & Ted's Bogus Journey ,49680,20188,English,USA,PG,1991,6.2,0
3106,Color,90.0,65.0,18000.0,Adventure|Comedy|Music|Sci-Fi,Bill & Ted's Excellent Adventure ,85362,20795,English,USA,PG,1989,6.9,0
3719,Color,110.0,335.0,838.0,Drama|Music,Billy Elliot ,98354,1122,English,UK,R,2000,7.7,0
2414,Color,119.0,0.0,15000.0,Comedy|Drama|Romance,Birdman or (The Unexpected Virtue of Ignorance) ,395087,21668,English,USA,R,2014,7.8,114000
2874,Color,93.0,16.0,567.0,Comedy|Crime|Thriller,Birthday Girl ,21530,1775,English,UK,R,2001,6.1,618
2315,Color,100.0,143.0,829.0,Drama|Mystery|Romance|Thriller,Birth ,29649,2295,English,USA,R,2004,6.1,0
1507,Color,148.0,0.0,30.0,Drama,Biutiful ,68885,50,Spanish,Mexico,R,2010,7.5,29000
4848,Color,98.0,77.0,19.0,Drama|Musical|Romance,Bizarre ,569,19,English,France,Not Rated,2015,4.3,114
2118,Color,145.0,719.0,2000.0,Drama|Thriller|War,Black Book ,59507,2590,Dutch,Netherlands,R,2006,7.8,0
3294,Color,94.0,17.0,607.0,Horror,Black Christmas ,19918,1611,English,USA,R,2006,4.5,0
330,Color,152.0,0.0,2000.0,Drama|History|War,Black Hawk Down ,292022,4270,English,USA,R,2001,7.7,10000
1445,Color,95.0,19.0,1000.0,Adventure|Comedy|Fantasy,Black Knight ,30771,2643,English,USA,PG-13,2001,4.8,0
905,Color,123.0,108.0,40000.0,Biography|Crime|Drama,Black Mass ,115216,63769,English,USA,R,2015,7.0,44000
2482,Color,93.0,148.0,549.0,Drama|Family|Music|Musical,Black Nativity ,1633,1373,English,USA,PG,2013,4.4,0
3454,Color,95.0,20.0,262.0,Action|Crime|Drama|Thriller,Black November ,385,409,English,Nigeria,Not Rated,2012,5.6,389
1640,Color,125.0,0.0,939.0,Action|Crime|Thriller,Black Rain ,39306,1748,English,USA,R,1989,6.6,0
4624,Color,83.0,224.0,224.0,Horror|Thriller,Black Rock ,6531,344,English,USA,R,2012,4.7,0
2704, Black and White,116.0,153.0,3000.0,Drama|Music,Black Snake Moan ,52421,5012,English,USA,R,2006,7.0,0
2835,Color,108.0,0.0,20000.0,Drama|Thriller,Black Swan ,551363,38072,English,USA,R,2010,8.0,106000
3184,Color,121.0,57.0,1000.0,Drama,Black or White ,8058,3745,English,USA,PG-13,2014,6.6,0
625,Color,133.0,0.0,26000.0,Action|Crime|Drama|Mystery|Thriller,Blackhat ,38983,28129,English,USA,R,2015,5.4,11000
3863,Color,102.0,3.0,820.0,Action|Adventure|Western,Blackthorn ,7390,1950,English,Spain,R,2011,6.6,0
892,Color,117.0,0.0,12000.0,Action|Horror|Sci-Fi|Thriller,Blade II ,158267,15371,English,USA,R,2002,6.7,0
1777,Color,117.0,0.0,11000.0,Sci-Fi|Thriller,Blade Runner ,461609,13877,English,USA,R,1982,8.2,34000
675,Color,122.0,687.0,16000.0,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Blade: Trinity ,132954,19764,English,USA,R,2004,5.9,0
707,Color,93.0,8.0,8000.0,Comedy|Sport,Blades of Glory ,129995,13232,English,USA,PG-13,2007,6.3,0
1089,Color,110.0,45.0,886.0,Action|Horror,Blade ,191437,3174,English,USA,R,1998,7.1,0
1458,Color,112.0,37.0,3000.0,Comedy|Drama|Romance|Sci-Fi,Blast from the Past ,48621,5709,English,USA,PG-13,1999,6.6,0
4168,Color,93.0,0.0,1000.0,Comedy|Western,Blazing Saddles ,95294,4701,English,USA,R,1974,7.8,12000
4686,Color,95.0,3.0,717.0,Horror,Bled ,851,1117,English,USA,R,2009,3.1,128
4514,Color,100.0,0.0,498.0,Horror,Bleeding Hearts ,71,1810,English,USA,Not Rated,2015,4.2,242
1104,Color,117.0,153.0,35000.0,Comedy|Romance,Blended ,87165,49743,English,USA,PG-13,2014,6.5,12000
1274,Color,107.0,55.0,3000.0,Crime|Drama|Horror|Thriller,Bless the Child ,12093,4565,English,USA,R,2000,5.1,394
1997,Color,121.0,353.0,45.0,Drama|Mystery|Sci-Fi|Thriller,Blindness ,59462,142,English,Canada,R,2008,6.6,0
3241,Color,93.0,7.0,906.0,Comedy|Romance,Blonde Ambition ,4995,4725,English,USA,PG-13,2007,3.9,160
307,Color,143.0,380.0,29000.0,Adventure|Drama|Thriller,Blood Diamond ,400292,33160,English,Germany,R,2006,8.0,14000
3231,Color,128.0,11.0,665.0,Drama,Blood Done Sign My Name ,465,4579,English,USA,PG-13,2010,6.7,503
1501,Color,330.0,138.0,848.0,Crime|Drama,"Blood In, Blood Out ",23181,3227,English,USA,R,1993,8.0,6000
1929,Color,144.0,0.0,15000.0,Crime|Drama|Thriller,Blood Ties ,14612,18442,English,France,R,2013,6.5,0
1004,Color,110.0,16000.0,16000.0,Action|Crime|Drama|Mystery|Thriller,Blood Work ,34356,18635,English,USA,R,2002,6.4,705
2724,Color,98.0,18.0,837.0,Drama|Fantasy|Horror|Romance,Blood and Chocolate ,15388,1675,English,USA,PG-13,2007,5.5,0
1859,Color,101.0,30.0,1000.0,Crime|Drama|Thriller,Blood and Wine ,7772,2228,English,USA,R,1996,6.1,145
1998,Color,92.0,892.0,783.0,Action|Adventure|Fantasy|Horror,BloodRayne ,30628,2930,English,USA,R,2005,2.9,937
4403,Color,92.0,15.0,633.0,Action|Biography|Drama|Sport,Bloodsport ,57578,1168,English,USA,R,1988,6.8,0
4781,Color,107.0,521.0,773.0,Drama|History|War,Bloody Sunday ,19732,976,English,UK,R,2002,7.7,0
2440,Color,107.0,0.0,517.0,Mystery|Thriller,Blow Out ,27629,1067,English,USA,R,1981,7.4,2000
1629,Color,124.0,47.0,40000.0,Biography|Crime|Drama,Blow ,198066,43453,English,USA,R,2001,7.6,13000
4577,Color,88.0,22.0,638.0,Drama,Blue Car ,3142,1641,English,USA,R,2002,6.7,115
1650,Color,104.0,134.0,585.0,Drama|Romance|Sport,Blue Crush ,26066,1165,English,USA,PG-13,2002,5.6,0
2415,Color,98.0,11000.0,594.0,Drama,Blue Jasmine ,150082,1353,English,USA,PG-13,2013,7.3,36000
4500,Color,108.0,14.0,1000.0,Comedy|Drama,Blue Like Jazz ,2582,1805,English,USA,PG-13,2012,6.0,0
4792,Color,90.0,57.0,1000.0,Crime|Drama|Thriller,Blue Ruin ,42678,1528,English,USA,R,2013,7.1,0
1380,Color,93.0,10.0,789.0,Action|Comedy|Crime|Thriller,Blue Streak ,60572,2986,English,USA,PG-13,1999,6.3,0
4543,Color,112.0,310.0,33000.0,Drama|Romance,Blue Valentine ,141425,35941,English,USA,R,2010,7.4,25000
2708,Color,97.0,2.0,890.0,Comedy,Boat Trip ,26598,3161,English,USA,R,2002,4.9,1000
2521,Color,128.0,9.0,767.0,Biography|Drama|Romance|Sport,Bobby Jones: Stroke of Genius ,3222,1727,English,USA,PG,2004,6.7,352
2799,Color,112.0,0.0,12000.0,Drama|History,Bobby ,38142,13528,English,USA,R,2006,7.0,0
3166,Color,114.0,0.0,537.0,Mystery|Thriller,Body Double ,20113,1856,English,USA,R,1984,6.8,0
641,Color,128.0,0.0,29000.0,Action|Drama|Thriller,Body of Lies ,174248,29824,English,USA,R,2008,7.1,0
2077,Color,139.0,3.0,556.0,Action|Drama|History,Bodyguards and Assassins ,6263,1059,Mandarin,China,Not Rated,2009,6.9,765
1565,Color,110.0,278.0,3000.0,Comedy|Family|Fantasy,Bogus ,5176,3864,English,USA,PG,1996,5.3,350
3292,Color,120.0,46.0,14000.0,Crime|Drama|Thriller,Boiler Room ,41313,17336,English,USA,R,2000,7.0,0
131,Color,96.0,59.0,17000.0,Adventure|Animation|Comedy|Drama|Family,Bolt ,146766,20007,English,USA,PG,2008,6.9,0
3385,Color,116.0,31.0,539.0,Action|Comedy|Crime|Thriller,Bon Cop Bad Cop ,8616,895,English,Canada,R,2006,7.0,758
2324, Black and White,114.0,22.0,572.0,Comedy|Drama|Mystery|Romance|Thriller|War,Bon voyage ,4293,1776,French,France,PG-13,2003,6.9,235
2186,Color,89.0,19.0,526.0,Drama|Horror|Mystery|Thriller,Boogeyman ,25960,1383,English,USA,PG-13,2005,4.1,1000
2667,Color,155.0,0.0,3000.0,Drama,Boogie Nights ,189032,3677,English,USA,R,1997,7.9,0
2662,Color,90.0,31.0,193.0,Adventure|Fantasy|Horror|Mystery|Thriller,Book of Shadows: Blair Witch 2 ,28964,608,English,USA,R,2000,4.0,949
4262, Black and White,119.0,6.0,1000.0,Adventure|Drama|Romance|Western,Boom Town ,2269,2555,English,USA,Passed,1940,7.1,236
1158,Color,117.0,71.0,723.0,Comedy|Drama|Romance,Boomerang ,20183,3841,English,USA,R,1992,5.4,0
2394,Color,82.0,119.0,332.0,Comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,297014,505,English,USA,R,2006,7.3,0
3813,Color,109.0,3.0,1000.0,Action|Drama|Thriller|War,Born of War ,237,1681,English,UK,R,2014,4.4,190
2768,Color,145.0,0.0,10000.0,Biography|Drama|War,Born on the Fourth of July ,76842,12098,English,USA,R,1989,7.2,4000
4776,Color,82.0,0.0,0.0,Action|Biography|Documentary|Sport,Born to Fly: Elizabeth Streb vs. Gravity ,40,0,English,USA,Not Rated,2014,6.8,44
3787,Color,91.0,0.0,387.0,Comedy|Crime|Drama,Bottle Rocket ,54478,648,English,USA,R,1996,7.1,0
3773,Color,110.0,19.0,25000.0,Comedy|Drama,Bottle Shock ,12233,25676,English,USA,PG-13,2008,6.8,0
3848,Color,109.0,0.0,3000.0,Crime|Drama|Romance|Thriller,Bound ,41138,3668,English,USA,R,1996,7.4,2000
856,Color,85.0,0.0,21000.0,Comedy,Bowfinger ,56874,22458,English,USA,PG-13,1999,6.4,0
4054, Black and White,120.0,909.0,909.0,Crime|Documentary|Drama,Bowling for Columbine ,123090,1779,English,Germany,R,2002,8.0,4000
3906,Color,165.0,0.0,230.0,Drama,Boyhood ,266020,673,English,USA,R,2014,8.0,92000
4147,Color,105.0,39.0,267.0,Comedy|Romance,Boynton Beach Club ,746,1231,English,USA,R,2005,6.5,88
4257,Color,118.0,108.0,173.0,Biography|Crime|Drama|Romance,Boys Don't Cry ,77551,563,English,USA,R,1999,7.6,0
2563,Color,94.0,7.0,3000.0,Comedy|Drama|Romance,Boys and Girls ,13661,3451,English,USA,PG-13,2000,5.3,487
3556,Color,112.0,309.0,27.0,Crime|Drama,Boyz n the Hood ,94139,106,English,USA,R,1991,7.8,0
1203,Color,155.0,0.0,18000.0,Fantasy|Horror|Romance,Bram Stoker's Dracula ,143835,42220,English,USA,R,1992,7.5,14000
3555,Color,88.0,3.0,46.0,Comedy|Drama|Musical,Bran Nue Dae ,1388,225,English,Australia,PG-13,2009,6.3,479
4116,Color,120.0,40.0,912.0,Drama|Family|Music,Brave New Girl ,758,2330,English,USA,PG-13,2004,5.0,47
573,Color,178.0,0.0,906.0,Biography|Drama|History|War,Braveheart ,736638,1976,English,USA,R,1995,8.4,17000
56,Color,93.0,56.0,2000.0,Adventure|Animation|Comedy|Family|Fantasy,Brave ,273556,5005,English,USA,PG,2012,7.2,39000
2700,Color,142.0,0.0,22000.0,Drama|Sci-Fi,Brazil ,152306,29475,English,UK,R,1985,8.0,16000
1383,Color,93.0,84.0,551.0,Action|Crime|Drama|Mystery|Thriller,Breakdown ,38399,1874,English,USA,R,1997,6.9,0
3006,Color,110.0,18.0,13000.0,Comedy,Breakfast of Champions ,6884,17417,English,USA,R,1999,4.6,458
3295,Color,85.0,2.0,911.0,Comedy|Romance,Breakin' All the Rules ,4247,1345,English,USA,PG-13,2004,5.5,266
5023,Color,88.0,38.0,331.0,Romance,Breaking Upwards ,1194,1546,English,USA,Not Rated,2009,6.2,324
4194,Color,101.0,34.0,56.0,Drama,Brick Lane ,2560,150,English,UK,PG-13,2007,6.7,430
1794,Color,100.0,11.0,23000.0,Action|Crime|Drama|Thriller,Brick Mansions ,32103,25387,English,France,PG-13,2014,5.7,0
3503,Color,122.0,98.0,729.0,Comedy|Drama|Musical|Romance,Bride & Prejudice ,17436,2321,English,UK,PG-13,2004,6.2,0
1624,Color,89.0,56.0,11000.0,Comedy|Romance,Bride Wars ,79094,13794,English,USA,PG,2009,5.4,0
1932,Color,89.0,31.0,285.0,Comedy|Fantasy|Horror|Romance,Bride of Chucky ,39768,667,English,Canada,R,1998,5.3,0
1545,Color,131.0,176.0,722.0,Comedy|Romance,Bridesmaids ,218711,3229,English,USA,R,2011,6.8,27000
1224,Color,142.0,14000.0,15000.0,Drama|History|Thriller,Bridge of Spies ,178118,16944,English,USA,PG-13,2015,7.6,55000
1897,Color,96.0,47.0,14000.0,Adventure|Drama|Family|Fantasy,Bridge to Terabithia ,110390,28071,English,USA,PG,2007,7.2,6000
1887,Color,97.0,11.0,14000.0,Comedy|Drama|Romance,Bridget Jones's Diary ,171568,16999,English,UK,R,2001,6.7,0
986,Color,108.0,17.0,14000.0,Comedy|Drama|Romance,Bridget Jones: The Edge of Reason ,74315,15634,English,UK,R,2004,5.9,0
4571,Color,119.0,13.0,957.0,Crime|Drama|Mystery,Brigham City ,983,1107,English,USA,PG-13,2001,7.2,100
1956,Color,107.0,21.0,967.0,Drama,"Bright Lights, Big City ",5817,3067,English,USA,R,1988,5.6,377
3343,Color,119.0,319.0,2000.0,Biography|Drama|Romance,Bright Star ,21360,3279,English,UK,PG,2009,7.0,0
3070,Color,111.0,17.0,845.0,Crime|Drama|Thriller,Brighton Rock ,5013,3117,English,UK,R,2010,5.7,0
3093,Color,98.0,235.0,4000.0,Comedy|Sport,Bring It On ,70141,5270,English,USA,PG-13,2000,5.9,0
2157,Color,105.0,163.0,1000.0,Comedy,Bringing Down the House ,30058,2505,English,USA,PG-13,2003,5.5,800
1562,Color,121.0,17000.0,12000.0,Drama|Thriller,Bringing Out the Dead ,53028,13040,English,USA,R,1999,6.8,0
2819,Color,134.0,0.0,15000.0,Drama|Romance,Brokeback Mountain ,259837,39789,English,USA,R,2005,7.7,13000
1983,Color,100.0,57.0,181.0,Drama|Mystery|Thriller,Brokedown Palace ,18693,582,English,USA,PG-13,1999,6.4,0
666,Color,108.0,610.0,848.0,Action|Crime|Thriller,Broken Arrow ,77390,2913,English,USA,R,1996,6.0,0
1473,Color,109.0,90.0,1000.0,Crime|Drama|Thriller,Broken City ,63548,2073,English,USA,R,2013,6.2,0
2767,Color,101.0,34.0,892.0,Action|Crime|Drama|Mystery|Thriller,Broken Horses ,1554,2055,English,USA,R,2015,5.7,0
4712,Color,90.0,4.0,919.0,Drama,Broken Vessels ,531,2288,English,USA,R,1998,6.6,51
4888,Color,92.0,0.0,27000.0,Action|Biography|Crime|Drama,Bronson ,84817,27507,English,UK,R,2008,7.1,22000
3411,Color,99.0,30.0,480.0,Crime|Drama,Brooklyn Rules ,5049,1234,English,USA,R,2007,6.4,226
2513,Color,132.0,847.0,3000.0,Crime|Drama|Thriller,Brooklyn's Finest ,52852,6317,English,USA,R,2009,6.7,4000
3047,Color,111.0,34.0,838.0,Drama|Romance,Brooklyn ,73249,995,English,UK,PG-13,2015,7.5,36000
4355,Color,89.0,47.0,628.0,Drama,Brotherly Love ,744,4249,English,USA,R,2015,7.2,1000
1852,Color,105.0,260.0,20000.0,Drama|Thriller,Brothers ,88035,42473,English,USA,R,2009,7.1,10000
2999,Color,114.0,0.0,865.0,Crime|Drama|Thriller,Brother ,18520,2126,English,USA,R,2000,7.2,0
3366,Color,109.0,44.0,1000.0,Comedy|Drama|Music|Romance,Brown Sugar ,5971,3199,English,USA,PG-13,2002,6.5,0
436,Color,101.0,293.0,11000.0,Comedy|Drama,Bruce Almighty ,296904,21276,English,USA,PG-13,2003,6.7,0
1165,Color,81.0,119.0,468.0,Comedy,Brüno ,119622,2134,English,USA,R,2009,5.8,0
4568,Color,92.0,152.0,1000.0,Comedy|Fantasy|Mystery,Bubba Ho-Tep ,38893,1587,English,USA,R,2002,7.2,0
2873,Color,84.0,2.0,15000.0,Adventure|Comedy|Romance|Sci-Fi,Bubble Boy ,25541,18864,English,USA,PG-13,2001,5.6,0
3197,Color,97.0,105.0,982.0,Comedy,Bucky Larson: Born to Be a Star ,9541,2603,English,USA,R,2011,3.3,0
3943,Color,120.0,45.0,623.0,Drama,"Buen Día, Ramón ",2112,824,German,Mexico,PG-13,2013,7.7,0
4412,Color,110.0,787.0,1000.0,Comedy|Crime|Drama|Romance,Buffalo '66 ,36657,4762,English,USA,R,1998,7.5,0
2738,Color,98.0,34.0,936.0,Comedy|Crime|Drama|Thriller|War,Buffalo Soldiers ,20730,3578,English,UK,R,2001,6.9,664
894,Color,92.0,394.0,13000.0,Action|Thriller,Bullet to the Head ,39247,25418,English,USA,R,2012,5.7,10000
922,Color,104.0,13.0,961.0,Action|Comedy|Fantasy,Bulletproof Monk ,42324,2422,English,USA,PG-13,2003,5.5,846
2275,Color,98.0,11000.0,1000.0,Comedy|Crime,Bullets Over Broadway ,29385,4302,English,USA,R,1994,7.5,979
4239,Color,115.0,184.0,730.0,Biography|Crime|Drama,Bully ,29424,3293,English,USA,R,2001,7.0,0
1672,Color,108.0,631.0,631.0,Comedy|Drama|Romance,Bulworth ,21998,1023,English,USA,R,1998,6.8,0
4346,Color,95.0,89.0,16000.0,Drama|Mystery|Thriller,Buried ,118684,17471,English,Spain,R,2010,7.0,24000
888,Color,119.0,59.0,2000.0,Drama|Music|Musical|Romance,Burlesque ,61680,4315,English,USA,PG-13,2010,6.4,19000
1371,Color,96.0,1000.0,24000.0,Comedy|Drama,Burn After Reading ,248468,36093,English,USA,R,2008,7.0,0
2289,Color,101.0,53.0,14000.0,Comedy|Drama,Burnt ,61360,16926,English,USA,R,2015,6.6,25000
4890,Color,86.0,15.0,2.0,Documentary,Burn ,575,2,English,USA,Not Rated,2012,7.5,801
4494,Color,85.0,91.0,1000.0,Comedy|Drama,But I'm a Cheerleader ,19986,4289,English,USA,R,1999,6.6,0
3584,Color,110.0,131.0,640.0,Biography|Crime|Drama|Western,Butch Cassidy and the Sundance Kid ,152089,2169,English,USA,M,1969,8.1,0
4924,Color,78.0,0.0,0.0,Documentary,Butterfly Girl ,27,0,English,USA,Not Rated,2014,8.7,88
4879,Color,108.0,32.0,602.0,Crime|Drama,Butterfly ,870,1991,English,USA,R,1982,4.5,76
2333,Color,122.0,11000.0,11000.0,Drama|Romance,By the Sea ,7976,22319,English,USA,R,2015,5.3,0
4477,Color,96.0,4.0,796.0,Horror|Sci-Fi,C.H.U.D. ,7528,1866,English,USA,R,1984,5.5,0
2338,Color,86.0,0.0,46.0,Comedy|Family|Sci-Fi,CJ7 ,11391,82,Cantonese,Hong Kong,PG,2008,6.5,1000
3533,Color,118.0,0.0,26000.0,Comedy|Crime|Thriller,Ca$h ,7663,27756,English,USA,R,2010,6.0,694
4400,Color,99.0,4.0,427.0,Horror,Cabin Fever ,3313,992,English,USA,Not Rated,2016,3.7,2000
3589,Color,98.0,11000.0,13000.0,Comedy|Sport,Caddyshack ,81599,14921,English,USA,R,1980,7.4,0
2977,Color,109.0,67.0,436.0,Biography|Drama|Music,Cadillac Records ,15412,1141,English,USA,R,2008,7.0,0
4904,Color,86.0,0.0,178.0,Documentary|History|Music,Call + Response ,48,279,English,USA,PG-13,2008,7.5,26
3832,Color,79.0,0.0,226.0,Drama,Camping sauvage ,262,286,French,France,Not Rated,2005,5.4,11
3127,Color,100.0,4.0,982.0,Comedy|Romance,Can't Hardly Wait ,37885,4259,English,USA,PG-13,1998,6.5,0
2325,Color,124.0,42.0,801.0,Biography|Comedy|Musical,Can't Stop the Music ,2998,1462,English,USA,PG,1980,4.5,1000
1411,Color,128.0,17000.0,22000.0,Crime|Thriller,Cape Fear ,127503,24006,English,USA,R,1991,7.3,0
2265,Color,105.0,909.0,1000.0,Crime|Documentary|News,Capitalism: A Love Story ,35137,2327,English,USA,R,2009,7.4,10000
3478,Color,110.0,152.0,22000.0,Biography|Crime|Drama,Capote ,100571,22140,English,Canada,R,2005,7.4,0
3814,Color,130.0,0.0,1000.0,Action|Sci-Fi|Thriller,Capricorn One ,15988,5191,English,USA,PG,1977,6.8,2000
1793,Color,145.0,13.0,10000.0,Adventure|Drama|History|Romance|Thriller|War,Captain Alatriste: The Spanish Musketeer ,10266,11669,Spanish,Spain,Not Rated,2006,6.1,0
27,Color,147.0,94.0,21000.0,Action|Adventure|Sci-Fi,Captain America: Civil War ,272670,64798,English,USA,PG-13,2016,8.2,72000
171,Color,124.0,394.0,11000.0,Action|Adventure|Sci-Fi,Captain America: The First Avenger ,508818,19761,English,USA,PG-13,2011,6.9,46000
86,Color,136.0,94.0,19000.0,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier ,496749,36188,English,USA,PG-13,2014,7.8,55000
832,Color,131.0,108.0,23000.0,Drama|Music|Romance|War,Captain Corelli's Mandolin ,28099,23325,English,UK,R,2001,5.9,0
845,Color,134.0,521.0,15000.0,Biography|Drama|Thriller,Captain Phillips ,323353,16281,English,USA,PG-13,2013,7.9,65000
4278,Color,97.0,5.0,1000.0,Crime|Drama|Thriller,Captive ,3911,2739,English,USA,PG-13,2015,5.3,0
4393,Color,95.0,0.0,227.0,Comedy|Drama|Romance,Caramel ,9750,231,Arabic,France,PG,2007,7.2,0
2810,Color,127.0,109.0,16000.0,Action|Adventure|History,Caravans ,524,17250,English,Iran,PG,1978,6.5,76
3878,Color,112.0,0.0,29.0,Mystery|Sci-Fi|Thriller,Cargo ,15780,61,German,Switzerland,Not Rated,2009,6.2,2000
1999,Color,80.0,2000.0,14000.0,Comedy|Drama,Carnage ,96480,25143,English,France,R,2011,7.2,21000
559,Color,84.0,10.0,3000.0,Drama|Horror|Sci-Fi|Thriller,Carriers ,35510,4368,English,USA,PG-13,2009,6.0,0
1662,Color,100.0,108.0,17000.0,Drama|Fantasy|Horror,Carrie ,108242,20051,English,USA,R,2013,5.9,39000
41,Color,106.0,487.0,1000.0,Adventure|Animation|Comedy|Family|Sport,Cars 2 ,101178,4482,English,USA,G,2011,6.3,10000
583,Color,117.0,487.0,1000.0,Adventure|Animation|Comedy|Family|Sport,Cars ,263853,4905,English,USA,G,2006,7.2,0
3614,Color,84.0,4.0,8000.0,Comedy|Western,Casa de mi Padre ,17169,10123,Spanish,USA,R,2012,5.5,9000
4526,Color,82.0,345.0,2000.0,Drama|Romance|War,Casablanca ,387508,3442,English,USA,PG,1942,8.6,23000
1821,Color,109.0,22.0,14000.0,Horror|Mystery|Thriller,Case 39 ,60555,15790,English,USA,R,2009,6.2,0
2912,Color,108.0,60.0,18000.0,Biography|Comedy|Crime|Drama,Casino Jack ,14757,18739,English,Canada,R,2010,6.2,0
2944, Black and White,144.0,258.0,6000.0,Action|Adventure|Thriller,Casino Royale ,470501,9125,English,UK,PG-13,2006,8.0,0
920,Color,178.0,17000.0,22000.0,Biography|Crime|Drama,Casino ,333542,24183,English,USA,R,1995,8.2,11000
847,Color,100.0,52.0,795.0,Comedy|Family|Fantasy,Casper ,85903,2638,English,USA,PG,1995,6.0,0
396,Color,143.0,0.0,15000.0,Adventure|Drama|Romance,Cast Away ,394317,15838,English,USA,PG-13,2000,7.7,23000
2902,Color,93.0,261.0,783.0,Fantasy|Horror|Thriller,Cat People ,14193,3700,English,USA,R,1982,6.1,0
4061,Color,108.0,174.0,253.0,Drama|Romance,Cat on a Hot Tin Roof ,33741,649,English,USA,Approved,1958,8.1,0
911,Color,141.0,14000.0,29000.0,Biography|Crime|Drama,Catch Me If You Can ,525801,48153,English,USA,PG-13,2002,8.0,15000
2433,Color,91.0,38.0,17000.0,Comedy|Crime,Catch That Kid ,8023,18711,English,USA,PG,2004,5.2,591
2806,Color,98.0,176.0,543.0,Biography|Drama|History,Catch a Fire ,9334,678,English,France,PG-13,2006,6.7,447
2422,Color,122.0,0.0,643.0,Comedy|Drama|War,Catch-22 ,17277,2032,English,USA,R,1970,7.2,0
431,Color,82.0,62.0,975.0,Action|Comedy|Family|Fantasy,Cats & Dogs: The Revenge of Kitty Galore ,10233,3326,English,USA,PG,2010,4.3,0
723,Color,87.0,6.0,3000.0,Action|Comedy|Family|Fantasy,Cats & Dogs ,46031,4171,English,USA,PG,2001,5.2,0
1567,Color,75.0,10.0,3000.0,Animation|Comedy|Family|Fantasy|Musical,Cats Don't Dance ,5600,7394,English,USA,G,1997,6.9,643
313,Color,87.0,26.0,827.0,Action|Crime|Fantasy|Romance|Thriller,Catwoman ,87451,3144,English,USA,PG-13,2004,3.3,0
5034,Color,80.0,0.0,0.0,Thriller,Cavite ,589,0,English,Philippines,Not Rated,2005,6.3,74
3209,Color,87.0,0.0,975.0,Comedy|Crime|Thriller,Cecil B. DeMented ,11403,3059,English,France,R,2000,6.2,795
3173,Color,87.0,44.0,1000.0,Comedy,Cedar Rapids ,32697,4769,English,USA,R,2011,6.3,0
2981, Black and White,113.0,11000.0,537.0,Comedy|Drama,Celebrity ,20576,943,English,USA,R,1998,6.3,652
4654,Color,92.0,43.0,904.0,Comedy|Drama|Romance,Celeste & Jesse Forever ,24391,1751,English,USA,R,2012,6.7,0
1109,Color,94.0,160.0,550.0,Action|Crime|Thriller,Cellular ,79141,1102,English,USA,PG-13,2004,6.5,2000
4815,Color,84.0,0.0,3.0,Documentary|History,Censored Voices ,186,3,Hebrew,Israel,Not Rated,2015,7.2,111
2431,Color,115.0,13.0,757.0,Drama|Music|Romance,Center Stage ,15817,1201,English,USA,PG-13,2000,6.7,0
942,Color,107.0,43.0,12000.0,Action|Comedy|Crime,Central Intelligence ,33354,14569,English,USA,PG-13,2016,6.6,10000
4144,Color,113.0,179.0,119.0,Drama,Central Station ,28951,167,Portuguese,Brazil,R,1998,8.0,0
2741,Color,97.0,197.0,13000.0,Action|Adventure|Drama|History|Thriller|War,Centurion ,64777,15293,English,UK,R,2010,6.4,0
4503,Color,85.0,0.0,49000.0,Comedy|Documentary,Certifiably Jonathan ,132,54484,English,USA,Not Rated,2007,6.2,87
